,#502,#504,#102,#506,#508,#510,#512,#514,#516,#518,#520
"Los Lunas",5:13A,6:06A,,7:09A,7:39A,,3:05P,4:58P,6:22P,,7:31P,,
Belen,5:24A,6:17A,,7:27A,7:50A,,3:15P,5:08P,6:33P,,7:42P,,
,#702,#704,#706,#708,#710,,,,,,,,
Belen,8:20A,1:04P,5:49P,7:44P,10:33P,,,,,,,,
"Los Lunas",8:30A,1:14P,5:59A,7:54P,10:43P,,,,,,,,
"Isleta Pueblo",8:41A,1:25P,6:10P,8:05P,10:54P,,,,,,,,
"Bernalillo County",8:48A,1:32P,6:17P,8:12P,11:01P,,,,,,,,
"Downtown ABQ",8:58A,1:42P,6:27P,8:22P,11:09P,,,,,,,,
Montaño,9:07A,1:51P,6:36P,8:31P,,,,,,,,,
"Los Ranchos / JC",9:13A,1:57P,6:42P,8:37P,,,,,,,,,
"Sandia Pueblo",9:18A,2:02P,6:47P,8:42P,,,,,,,,,
"Downtown Bernalillo",9:26A,2:10P,6:55P,8:50P,,,,,,,,,
"Sandoval/ US 550",9:29A,2:13P,6:58P,8:53P,,,,,,,,,
Kewa,9:47A,2:31P,7:16P,9:11P,,,,,,,,,
"SF County / NM 599",10:08A,2:52P,7:37P,9:32P,,,,,,,,,
"South Capitol",10:24A,3:08P,7:53P,9:48P,,,,,,,,,
"Santa Fe Depot",10:29A,3:13P,7:58P,9:53P,,,,,,,,,
,#701,#703,#705,#707,#709,#711,,,,,,,
"Santa Fe Depot",,10:44A,3:27P,,8:12P,10:07P,,,,,,,
"South Capitol",,10:49A,3:32P,,8:17P,10:12P,,,,,,,
"SF County / NM 599",,11:05A,3:48P,,8:33P,10:28P,,,,,,,
Kewa,,11:23A,4:06P,,8:51P,10:46P,,,,,,,
"Sandoval/ US 550",,11:41A,4:24P,,9:09P,11:04P,,,,,,,
"Downtown Bernalillo",,11:44A,4:27P,,9:12P,11:07P,,,,,,,
"Sandia Pueblo",,11:52A,4:35P,,9:20P,11:15P,,,,,,,
"Los Ranchos / JC",,11:57A,4:40P,,9:25P,11:20P,,,,,,,
Montaño,,12:03P,4:46P,,9:31P,11:26P,,,,,,,
"Downtown ABQ",7:28A,12:12P,4:57P,6:48P,9:40P,11:34P,,,,,,,
"Bernalillo County",7:38A,12:22P,5:07P,6:58P,9:50P,,,,,,,,
"Isleta Pueblo",7:45A,12:29P,5:14P,7:05P,9:57P,,,,,,,,
"Los Lunas",7:56A,12:40P,5:25P,7:16P,10:08P,,,,,,,,
Belen,8:06A,12:50P,5:35P,7:26P,10:18P,,,,,,,,
,#702,#704,#706,,,,,,,,,,
Belen,8:20A,1:04P,5:49P,,,,,,,,,,
"Los Lunas",8:30A,1:14P,5:59P,,,,,,,,,,
"Isleta Pueblo",8:41A,1:25P,6:10P,,,,,,,,,,
"Bernalillo County",8:48A,1:32P,6:17P,,,,,,,,,,
"Downtown ABQ",8:58A,1:42P,6:27P,,,,,,,,,,
Montaño,9:07A,1:51P,6:36P,,,,,,,,,,
"Los Ranchos / JC",9:13A,1:57P,6:42P,,,,,,,,,,
"Sandia Pueblo",9:18A,2:02P,6:47P,,,,,,,,,,
"Downtown Bernalillo",9:26A,2:10P,6:55P,,,,,,,,,,
